Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Name :(cid:9)LAXMI METAL SYNDICATE LLP Address (cid:9)(cid:9) :(cid:9) 01 OPP DASALADWADI,,,,,,,57,226.16 Account Statement from 1 Nov 2022 to 30 Nov 2022 Txn Date Value Description Ref No./Cheque Debit Credit Balance Date No. 1 Nov 2022 1 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 37,47,705.00 -7,62,9,521.16 NO: FROM HDFCR52022110156882756- 3199860044304 / MEWELECTRICALSLTD MEWELECTRICA LSLTD 2 Nov 2022 2 Nov 2022 CHQ TRANSFER-RTGS UTR 97272 LAXMI 36,0,047.20 -7,98,9,568.36 NO: METAL SBINR52022110212749807- SYNDICATE 97272 LAXMI METAL SYNDICATE 5 Nov 2022 5 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 4,2,437.00 -7,94,7,131.36 NO: FROM HDFCR52022110558037329- 3199856044300 / RAJFILTERSANDWIREMESH RAJFILTERSAND PVTLTD WIREMESHPVTL TD 7 Nov 2022 7 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 50,0,000.00 -7,44,7,131.36 NO: FROM FDRLR52022110733387286- 3199859044307 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 7 Nov 2022 7 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 46,16,283.00 -6,97,90,848.36 NO: FROM FDRLR52022110733387289- 3199859044307 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 7 Nov 2022 7 Nov 2022 CHQ TRANSFER-RTGS UTR 97273 LAXMI 1,0,0,047.2 -7,97,90,895.56 NO: METAL 0 SBINR52022110713684370- SYNDICATE 97273 LAXMI METAL SYNDICATE 9 Nov 2022 9 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 60,0,000.00 -7,37,90,895.56 NO: FROM UTIBR52022110900251539- 3199859044307 / LAXMI METAL SYNDICATE LAXMI METAL SYNDICATE,,,,,,,,,,,,,,,,,,,,,,,,,
Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov-22,11-Nov-22,CHQ TRANSFER-RTGS UTR NO: SBINR52022111114549517- 97276 LAXMI METAL SYNDICATE,97276 LAXMI METAL SYNDICATE,7500047.2,,-79465448.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Nov-22,14-Nov-22,BY TRANSFER-RTGS UTR NO: FDRLR52022111433398823- GLOBAL COPPER PRIVATE LIMITED,TRANSFER FROM 3199860044304 / GLOBAL COPPER PRIVATE LIMITED,,2000000,-77465448.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Nov-22,14-Nov-22,CHQ TRANSFER-RTGS UTR NO: SBINR52022111414826607- 97277 LAXMI METAL SYNDICATE,97277 LAXMI METAL SYNDICATE,2000047.2,,-79465495.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Nov-22,15-Nov-22,BY TRANSFER-RTGS UTR NO: FDRLR52022111533312190- GLOBAL COPPER PRIVATE LIMITED,TRANSFER FROM 3199859044307 / GLOBAL COPPER PRIVATE LIMITED,,5000000,-74465495.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Nov-22,15-Nov-22,BY TRANSFER-RTGS UTR NO: FDRLR52022111533312215- GLOBAL COPPER PRIVATE LIMITED,TRANSFER FROM 3199856044300 / GLOBAL COPPER PRIVATE LIMITED,,3000000,-71465495.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Nov-22,15-Nov-22,CHQ TRANSFER-RTGS UTR NO: SBINR52022111515084159- 97278 K B UDHYOG LLP,97278 K B UDHYOG LLP,5000047.2,,-76465542.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Txn Date Value Description Ref No./Cheque Debit Credit Balance Date No. 15 Nov 15 Nov CHQ TRANSFER-RTGS UTR 97279 LAXMI 35,,,,,,,000.00 -7,90,65,589.76 2022 2022 NO: FROM UTIBR52022111600299795- 3199856044300 / LAXMI METAL SYNDICATE LAXMI METAL SYNDICATE 16 Nov 16 Nov CHQ TRANSFER-RTGS UTR 97280 K B 9,0,047.20 -7,99,65,636.96 2022 2022 NO: UDHYOG LLP SBINR52022111615334035- 97280 K B UDHYOG LLP 18 Nov 18 Nov BY TRANSFER-RTGS UTR TRANSFER 11,50,000.00 -7,88,15,636.96 2022 2022 NO: FROM UTIBR52022111800177406- 3199859044307 / LAXMI METAL SYNDICATE LAXMI METAL SYNDICATE 18 Nov 18 Nov BY TRANSFER-RTGS UTR TRANSFER 13,0,000.00 -7,75,15,636.96 2022 2022 NO: FROM FDRLR52022111833320791- 3199859044307 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 18 Nov 18 Nov BY TRANSFER-INB MAD00018631377 40,000.00 -7,74,75,636.96 2022 2022 IMPS232215510664/99999999 4 99/XX4262/imps- MAD00018631377 4 18 Nov 18 Nov CHQ TRANSFER-RTGS UTR 97281 K B 25,4,642.20 -7,99,80,279.16 2022 2022 NO: UDHYOG LLP SBINR52022111815819180- 97281 K B UDHYOG LLP 19 Nov 19 Nov BY TRANSFER-RTGS UTR TRANSFER 50,0,000.00 -7,49,80,279.16 2022 2022 NO: FROM FDRLR52022111933321712- 3199856044300 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 19 Nov 19 Nov BY TRANSFER-RTGS UTR TRANSFER 10,0,000.00 -7,39,80,279.16 2022 2022 NO: FROM FDRLR52022111933321733- 3199859044307 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 19 Nov 19 Nov CHEQUE WDL- TRF-97282 TRANSFER 2,61,286.00 -7,42,41,565.16 2022 2022 FROM 10184847407 / 97282 19 Nov 19 Nov CHQ TRANSFER-RTGS UTR 97283 LAXMI 57,35,047.20 -7,99,76,612.36 2022 2022 NO: METAL SBINR52022111916024674- SYNDICATE 97283 LAXMI METAL SYNDICATE 23 Nov 23 Nov BY TRANSFER-RTGS UTR TRANSFER 39,39,378.00 -7,60,37,234.36 2022 2022 NO: FROM HDFCR52022112362335939- 3199856044300 / MEWELECTRICALSLTD MEWELECTRICA LSLTD 23 Nov 23 Nov CHQ TRANSFER-RTGS UTR 97284 LAXMI 39,35,047.20 -7,99,72,281.56 2022 2022 NO: METAL SBINR52022112316663572- SYNDICATE 97284 LAXMI METAL SYNDICATE 24 Nov 24 Nov BY TRANSFER-RTGS UTR TRANSFER 50,0,000.00 -7,49,72,281.56 2022 2022 NO: FROM FDRLR52022112433331509- 3199856044300 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED
